
--- [START 2020-03-10_11-02-54] ----------------------------------------------------------------

@common.py:
set random seed
	SEED = 2019
set cuda environment
	torch.__version__              = 1.4.0
	torch.version.cuda             = 10.1
	torch.backends.cudnn.version() = 7603
	os['CUDA_VISIBLE_DEVICES']     = 0,1
	torch.cuda.device_count()      = 2



SEED     = 2019
out_dir  = results/seresnext101/initial_head_seresnext101_combined_crossentropy_sgd_lr0.0457_224to224_mixup0.4_DAda7b_MinLr0.0457_MaxLr0.0457_steps_gradClipping1.0_PRETRAINED_ApplySWA

** dataset setting **
batch_size = 50
train_dataset : 
	len = 180756


valid_dataset : 
	len = 20084



** net setting **
	initial_checkpoint = best_model.pth
net=<class 'torch.nn.parallel.data_parallel.DataParallel'>

optimizer
  SWA (
Parameter Group 0
    dampening: 0
    lr: 0.0457
    momentum: 0.0
    n_avg: 0
    nesterov: False
    step_counter: 0
    weight_decay: 0.0
)
scheduler
  (Exp) Decay Learning Rates
base_lr=0.046, decay=0.100, step=150.000

epochs=96
batch_size=50

mixup_prob=0.00
mixup_alpha=0.40
cutmix_prob=0.00
cutmix_alpha=1.00
grad_clip=1.000000

** START TRAINING HERE! **


                |----------------------- VALID------------------------------------|------- TRAIN/BATCH ----
epoch     rate  | kaggle                    | loss               acc              | loss   | time       
 51  0.0457000  | 0.981 : 0.971 0.992 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0020 |38 hr 34 min
 52  0.0457000  | 0.981 : 0.972 0.992 0.987 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0020 |39 hr 19 min
 53  0.0457000  | 0.982 : 0.973 0.993 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0020 |40 hr 06 min
 54  0.0457000  | 0.980 : 0.970 0.991 0.989 | 0.13, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0020 |40 hr 52 min
 55  0.0457000  | 0.983 : 0.974 0.992 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0019 |41 hr 36 min
 56  0.0457000  | 0.982 : 0.972 0.993 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |42 hr 19 min
 57  0.0457000  | 0.982 : 0.972 0.992 0.990 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0019 |43 hr 03 min
 58  0.0457000  | 0.982 : 0.974 0.993 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |43 hr 47 min
 59  0.0457000  | 0.983 : 0.975 0.993 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0019 |44 hr 31 min
 60  0.0457000  | 0.981 : 0.971 0.992 0.989 | 0.13, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |45 hr 16 min
 61  0.0457000  | 0.981 : 0.972 0.991 0.990 | 0.12, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0019 |46 hr 02 min
 62  0.0457000  | 0.983 : 0.975 0.993 0.990 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |46 hr 48 min
 63  0.0457000  | 0.982 : 0.973 0.991 0.990 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |47 hr 32 min
 64  0.0457000  | 0.982 : 0.973 0.991 0.990 | 0.10, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0018 |48 hr 15 min
 65  0.0457000  | 0.981 : 0.972 0.992 0.987 | 0.12, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |49 hr 00 min
 66  0.0457000  | 0.983 : 0.975 0.993 0.988 | 0.10, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |49 hr 46 min
 67  0.0457000  | 0.983 : 0.977 0.992 0.987 | 0.10, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0017 |50 hr 32 min
 68  0.0457000  | 0.982 : 0.974 0.993 0.989 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0017 |51 hr 16 min
 69  0.0457000  | 0.983 : 0.973 0.993 0.991 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |52 hr 00 min
 70  0.0457000  | 0.982 : 0.972 0.991 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0017 |52 hr 43 min
 71  0.0457000  | 0.983 : 0.973 0.992 0.993 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |53 hr 29 min
 72  0.0457000  | 0.983 : 0.974 0.993 0.991 | 0.10, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0017 |54 hr 15 min
 73  0.0457000  | 0.983 : 0.973 0.993 0.993 | 0.12, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |55 hr 02 min
 74  0.0457000  | 0.983 : 0.975 0.992 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |55 hr 47 min
 75  0.0457000  | 0.982 : 0.973 0.991 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |56 hr 30 min
 76  0.0457000  | 0.982 : 0.973 0.991 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0016 |57 hr 14 min
 77  0.0457000  | 0.982 : 0.975 0.992 0.987 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0016 |57 hr 58 min
 78  0.0457000  | 0.983 : 0.974 0.993 0.989 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |58 hr 43 min
 79  0.0457000  | 0.983 : 0.974 0.992 0.991 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0017 |59 hr 30 min
 80  0.0457000  | 0.985 : 0.978 0.992 0.992 | 0.10, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |60 hr 16 min
 81  0.0457000  | 0.982 : 0.973 0.992 0.988 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0016 |61 hr 01 min
 82  0.0457000  | 0.983 : 0.973 0.993 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |61 hr 45 min
 83  0.0457000  | 0.984 : 0.976 0.992 0.991 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |62 hr 29 min
 84  0.0457000  | 0.983 : 0.974 0.993 0.992 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |63 hr 13 min
 85  0.0457000  | 0.982 : 0.975 0.992 0.988 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0016 |63 hr 59 min
 86  0.0457000  | 0.983 : 0.975 0.992 0.992 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |64 hr 45 min
 87  0.0457000  | 0.982 : 0.973 0.991 0.990 | 0.12, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0016 |65 hr 31 min
 88  0.0457000  | 0.982 : 0.973 0.992 0.991 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0015 |66 hr 15 min
 89  0.0457000  | 0.984 : 0.976 0.991 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0015 |66 hr 59 min
 90  0.0457000  | 0.984 : 0.976 0.992 0.992 | 0.11, 0.04, 0.04 : 0.98, 0.99, 0.99 | 0.0015 |67 hr 42 min
 91  0.0457000  | 0.984 : 0.975 0.993 0.992 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0015 |68 hr 28 min
 92  0.0457000  | 0.982 : 0.974 0.992 0.987 | 0.12, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0015 |69 hr 14 min
 93  0.0457000  | 0.984 : 0.976 0.992 0.993 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0015 |70 hr 00 min
 94  0.0457000  | 0.984 : 0.976 0.993 0.990 | 0.11, 0.04, 0.03 : 0.98, 0.99, 0.99 | 0.0015 |70 hr 44 min
 95  0.0457000  | 0.981 : 0.972 0.991 0.987 | 0.13, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0015 |71 hr 27 min

